bbl,zipcode
1000010010,10004
1000010101,10004
1000010201,10004
1000020001,10004
1000020002,10004
1000020023,10004
1000030001,10004
1000030001,10280
1000030003,10004
1000030010,10004
1000041001,10004
1000050010,10004
1000051001,10004
1000060001,10004
1000070027,10004
1000070028,10004
1000070029,10004
1000070030,10004
1000070031,10004
1000070033,10004
1000070035,10004
1000070037,10004
1000070038,10004
1000071001,10004
1000071101,10004
1000080039,10004
1000080044,10004
1000080051,10004
1000081001,10004
1000090001,10004
1000090007,10004
1000090014,10004
1000090029,10004
1000100001,10004
1000100014,10004
1000100015,10004
1000100016,10004
1000100019,10004
1000100023,10004
1000100032,10004
1000100033,10004
1000110001,10004
1000110007,10004
1000110009,10004
1000110010,10004
1000110011,10004
1000110012,10004
1000110014,10004
1000110015,10004
1000110017,10004
1000110021,10004
1000110026,10004
1000110029,10004
1000111001,10004
1000120001,10004
1000120028,10004
1000130001,10004
1000130005,10004
1000130027,10004
1000150022,10006
1000150022,10004
1000151001,10004
1000151101,10004
1000160001,10280
1000160001,10004
1000160003,10282
1000160003,10281
1000160003,10280
1000160003,10004
1000160010,10280
1000160015,10280
1000160020,10280
1000160040,10280
1000160100,10280
1000160120,10281
1000160125,10007
1000160125,10280
1000160125,10281
1000160140,10281
1000160150,10281
1000160160,10280
1000160180,10282
1000160185,10282
1000160205,10282
1000160210,10282
1000160215,10282
1000160220,10282
1000160221,10282
1000160225,10281
1000160225,10282
1000160260,10282
1000160260,10013
1000161001,10280
1000161301,10282
1000161301,10018
1000161401,10004
1000161701,10006
1000161701,10280
1000161701,10004
1000162001,10280
1000162200,10280
1000162401,10280
1000162601,10280
1000163001,10280
1000163201,10280
1000163602,10282
1000164001,10280
1000164201,10282
1000164301,10282
1000164601,10282
1000165001,10280
1000165601,10280
1000166001,10280
1000166301,10282
1000166401,10282
1000167001,10280
1000168001,10280
1000169001,10004
1000169001,10280
1000169220,10282
1000170029,10006
1000170045,10006
1000171101,10006
1000171201,10006
1000179045,10006
1000180100,10006
1000180100,10004
1000181001,10006
1000190008,10006
1000190013,10006
1000190018,10006
1000190019,10006
1000190021,10006
1000190024,10006
1000200001,10006
1000200004,10006
1000200009,10006
1000200012,10006
1000200013,10006
1000200016,10006
1000210001,10006
1000210004,10006
1000210006,10006
1000220013,10004
1000220017,10004
1000220020,10004
1000220024,10004
1000220028,10004
1000230019,10005
1000230019,10004
1000230050,10005
1000230050,10004
1000231001,10004
1000231001,10005
1000240001,10004
1000240019,10004
1000240029,10004
1000240036,10004
1000241001,10004
1000250001,10004
1000250007,10004
1000250010,10004
1000250027,10005
1000251001,10004
1000251001,10005
1000251401,10004
1000251401,10005
1000260014,10005
1000260021,10005
1000260021,10004
1000261001,10005
1000270009,10005
1000270017,10005
1000271001,10005
1000271001,10004
1000271201,10004
1000271201,10005
1000280001,10004
1000280005,10004
1000280012,10005
1000280015,10005
1000280028,10004
1000281001,10005
1000290001,10004
1000290019,10004
1000290022,10004
1000290023,10004
1000290024,10004
1000290025,10004
1000290026,10004
1000290029,10004
1000290036,10004
1000290043,10004
1000290045,10004
1000290046,10004
1000290047,10004
1000290048,10004
1000290070,10004
1000290073,10004
1000290086,10004
1000291001,10004
1000291101,10004
1000291201,10004
1000291301,10004
1000300001,10004
1000300003,10004
1000300004,10004
1000300005,10004
1000300019,10004
1000300032,10004
1000300033,10004
1000300034,10004
1000310001,10005
1000310010,10005
1000310034,10005
1000311001,10005
1000321001,10004
1000321001,10041
1000330001,10005
1000330011,10005
1000331001,10005
1000340037,10005
1000350001,10005
1000350010,10005
1000360018,10005
1000360025,10005
1000360030,10005
1000370001,10005
1000370008,10005
1000370013,10005
1000370023,10005
1000380001,10005
1000380017,10005
1000390001,10005
1000390006,10005
1000390012,10005
1000390038,10005
1000390041,10005
1000391001,10005
1000400003,10005
1000400014,10005
1000400016,10005
1000401001,10005
1000410015,10005
1000410022,10005
1000410024,10005
1000411001,10005
1000411101,10005
1000411201,10005
1000411301,10005
1000420001,10005
1000420001,10038
1000420022,10005
1000420031,10005
1000420031,10038
1000420036,10005
1000420036,10038
1000430001,10005
1000430002,10005
1000430005,10005
1000430006,10005
1000440001,10005
1000441001,10005
1000460001,10005
1000460003,10005
1000460009,10005
1000471001,10271
1000471001,10005
1000480001,10005
1000490001,10006
1000490002,10006
1000500001,10006
1000510001,10006
1000510007,10006
1000510013,10006
1000510014,10006
1000510015,10006
1000520001,10006
1000520008,10006
1000520010,10006
1000520015,10006
1000520021,10006
1000520022,10006
1000520030,10006
1000521001,10006
1000521101,10006
1000530002,10006
1000530003,10006
1000530004,10006
1000530006,10006
1000530012,10006
1000530033,10006
1000530035,10006
1000530036,10006
1000530037,10006
1000530038,10006
1000530039,10006
1000530040,10006
1000530041,10006
1000531001,10006
1000531201,10006
1000540001,10006
1000540040,10006
1000550014,10006
1000550016,10006
1000551001,10006
1000560001,10006
1000560004,10006
1000560015,10006
1000560020,10006
1000560021,10006
1000580001,10007
1000580001,10048
1000580001,10080
1000621001,10006
1000630001,10007
1000630003,10007
1000630006,10007
1000630012,10007
1000630013,10007
1000630015,10007
1000630016,10007
1000630017,10007
1000630018,10007
1000630019,10007
1000630020,10007
1000630021,10007
1000640001,10038
1000640002,10038
1000640004,10038
1000640005,10038
1000640007,10038
1000640008,10038
1000640008,10005
1000640009,10038
1000640009,10005
1000640012,10038
1000640012,10005
1000640015,10038
1000640020,10038
1000640021,10038
1000640023,10038
1000640024,10038
1000640025,10038
1000641001,10005
1000641101,10038
1000650002,10038
1000650004,10038
1000650006,10038
1000650007,10038
1000650010,10038
1000650016,10038
1000650017,10038
1000650020,10038
1000650022,10038
1000650024,10038
1000651001,10038
1000651101,10038
1000660001,10045
1000660001,10005
1000670001,10038
1000670023,10038
1000670023,10005
1000670030,10038
1000670031,10038
1000680007,10038
1000680011,10038
1000680016,10038
1000680028,10038
1000680029,10038
1000680036,10038
1000681001,10038
1000681201,10038
1000690001,10038
1000690006,10038
1000690018,10038
1000690030,10038
1000690032,10038
1000690053,10038
1000690054,10038
1000691101,10038
1000700020,10038
1000700032,10038
1000700043,10038
1000701001,10038
1000710001,10038
1000711001,10038
1000720007,10038
1000720012,10038
1000720013,10038
1000720014,10038
1000720019,10038
1000720020,10038
1000720025,10038
1000720027,10038
1000720031,10038
1000721001,10038
1000721101,10038
1000730002,10005
1000730002,10038
1000730008,10038
1000730010,10038
1000730011,10038
1000730014,10038
1000740001,10038
1000740020,10038
1000741001,10038
1000750001,10038
1000750008,10038
1000750009,10038
1000750021,10038
1000750028,10038
1000750030,10038
1000750035,10038
1000750043,10038
1000750046,10038
1000750048,10038
1000751001,10038
1000751011,10038
1000751101,10038
1000760001,10038
1000760006,10038
1000760007,10038
1000760008,10038
1000760023,10038
1000760024,10038
1000760028,10038
1000761001,10038
1000761101,10038
1000770001,10038
1000770008,10038
1000770015,10038
1000770018,10038
1000770020,10038
1000770024,10038
1000780001,10038
1000780004,10038
1000780011,10038
1000780020,10038
1000780040,10038
1000780041,10038
1000780042,10038
1000780043,10038
1000780044,10038
1000780045,10038
1000780047,10038
1000781101,10038
1000781201,10038
1000781301,10038
1000781401,10038
1000781501,10038
1000781601,10038
1000781701,10038
1000781801,10038
1000781901,10038
1000790002,10038
1000790003,10038
1000790004,10038
1000790006,10038
1000790010,10038
1000790014,10038
1000790015,10038
1000790025,10038
1000790026,10038
1000790027,10038
1000791001,10038
1000791101,10038
1000791201,10038
1000800001,10007
1000800004,10007
1000840036,10007
1000841002,10007
1000860001,10007
1000870001,10007
1000880001,10007
1000880002,10007
1000880004,10007
1000880005,10007
1000880008,10007
1000880010,10007
1000880011,10007
1000880014,10007
1000880018,10007
1000890001,10038
1000890002,10038
1000890003,10038
1000890012,10038
1000900001,10038
1000900013,10038
1000900017,10038
1000900022,10038
1000900023,10038
1000900024,10038
1000901001,10038
1000901101,10038
1000901201,10038
1000901301,10038
1000909014,10038
1000910009,10038
1000910011,10038
1000910013,10038
1000911001,10038
1000911101,10038
1000911201,10038
1000920003,10038
1000920010,10038
1000920013,10038
1000920014,10038
1000920017,10038
1000920023,10038
1000920024,10038
1000920026,10038
1000920027,10038
1000920028,10038
1000920029,10038
1000920030,10038
1000920032,10038
1000920034,10038
1000921001,10038
1000921201,10038
1000930001,10038
1000930024,10038
1000930025,10038
1000930026,10038
1000930028,10038
1000930029,10038
1000930030,10038
1000930034,10038
1000931001,10038
1000940001,10038
1000940002,10038
1000940025,10038
1000950027,10038
1000950043,10038
1000950101,10038
1000951001,10038
1000960001,10038
1000960005,10038
1000960008,10038
1000960012,10038
1000970001,10038
1000970002,10038
1000970003,10038
1000970004,10038
1000970005,10038
1000970006,10038
1000970007,10038
1000970008,10038
1000970009,10038
1000970010,10038
1000970013,10038
1000970015,10038
1000970017,10038
1000970018,10038
1000970024,10038
1000970026,10038
1000970030,10038
1000970031,10038
1000970032,10038
1000970033,10038
1000970035,10038
1000970036,10038
1000970043,10038
1000970044,10038
1000970045,10038
1000970049,10038
1000970055,10038
1000970057,10038
1000970144,10038
1000971001,10038
1000971101,10038
1000971201,10038
1000971301,10038
1000971401,10038
1000980001,10038
1001000001,10038
1001000026,10038
1001001001,10038
1001001201,10038
1001010001,10038
1001010002,10038
1001020001,10038
1001060002,10038
1001060003,10038
1001060005,10038
1001060006,10038
1001060009,10038
1001060017,10038
1001060020,10038
1001060022,10038
1001061001,10038
1001061101,10038
1001061201,10038
1001061301,10038
1001070001,10038
1001070002,10038
1001070010,10038
1001070026,10038
1001070028,10038
1001070031,10038
1001070033,10038
1001070034,10038
1001070035,10038
1001070038,10038
1001070040,10038
1001070042,10038
1001070044,10038
1001070046,10038
1001070049,10038
1001070050,10038
1001070051,10038
1001070060,10038
1001071001,10038
1001071002,10038
1001071101,10038
1001080004,10038
1001110100,10038
1001110150,10038
1001110160,10038
1001130001,10038
1001130100,10038
1001131001,10038
1001139100,10038
1001150001,10038
1001160042,10038
1001160043,10038
1001160046,10038
1001160047,10038
1001160048,10038
1001160049,10038
1001170001,10007
1001170001,10038
1001170100,10013
1001190001,10007
1001190001,10038
1001210001,10007
1001220001,10007
1001230003,10007
1001230018,10007
1001231001,10007
1001231001,10279
1001231101,10007
1001240004,10007
1001240007,10007
1001240008,10007
1001240009,10007
1001240010,10007
1001240011,10007
1001240012,10007
1001240021,10007
1001240024,10007
1001241001,10007
1001250020,10007
1001260008,10007
1001260009,10007
1001260013,10007
1001260027,10007
1001270001,10007
1001270018,10007
1001280002,10007
1001280026,10007
1001320001,10007
1001320002,10007
1001320003,10007
1001320006,10007
1001320007,10007
1001320022,10007
1001320023,10007
1001320026,10007
1001320027,10007
1001320030,10007
1001320123,10007
1001321001,10007
1001321201,10007
1001321301,10007
1001321401,10007
1001321501,10007
1001321601,10007
1001330007,10007
1001330010,10007
1001330013,10007
1001330014,10007
1001330015,10007
1001330019,10007
1001331001,10007
1001331101,10007
1001331201,10007
1001331301,10007
1001331401,10007
1001331501,10007
1001331601,10007
1001331701,10007
1001331801,10007
1001331901,10007
1001332001,10007
1001340007,10007
1001340011,10007
1001340020,10007
1001340021,10007
1001340025,10007
1001341001,10007
1001341101,10007
1001341201,10007
1001341301,10007
1001341401,10007
1001341501,10007
1001350009,10007
1001350011,10007
1001350012,10007
1001350016,10007
1001350017,10007
1001350018,10007
1001350019,10007
1001350021,10007
1001350031,10007
1001351001,10007
1001351101,10007
1001351201,10007
1001351301,10007
1001351401,10007
1001351501,10007
1001351601,10007
1001351701,10007
1001351801,10007
1001351901,10007
1001360007,10007
1001360008,10007
1001360010,10007
1001360012,10007
1001360019,10007
1001360020,10007
1001360023,10007
1001360024,10007
1001360025,10007
1001360027,10007
1001360028,10007
1001361001,10007
1001361101,10007
1001361201,10007
1001361301,10007
1001361401,10007
1001370001,10007
1001370005,10007
1001370010,10007
1001370025,10007
1001370026,10007
1001370027,10007
1001370028,10007
1001370029,10007
1001370034,10007
1001370035,10007
1001371001,10007
1001371201,10007
1001371301,10007
1001371401,10007
1001371501,10007
1001379030,10007
1001400001,10007
1001400001,10013
1001400003,10007
1001400004,10007
1001400005,10007
1001400005,10013
1001400009,10007
1001400024,10013
1001400029,10013
1001401001,10007
1001401001,10013
1001401101,10013
