inspection_type,job_progress,latitude,longitude,inspection_date,result,approved_date
INITIAL,1,40.718008702954,-73.99342724941,2019-11-18 14:40:34,Passed Inspection,2019-11-19 13:38:14
INITIAL,1,40.718008702954,-73.99342724941,2019-10-23 16:41:06,Active Rat Signs,2019-10-24 12:12:51
INITIAL,1,40.718008702954,-73.99342724941,2019-09-18 15:15:50,Active Rat Signs,2019-09-19 11:03:46
INITIAL,1,40.718008702954,-73.99342724941,2019-08-26 15:16:25,Active Rat Signs,2019-08-27 13:01:51
INITIAL,1,40.718008702954,-73.99342724941,2019-07-25 15:16:16,Active Rat Signs,2019-07-29 08:39:23
INITIAL,1,40.718008702954,-73.99342724941,2019-06-26 12:30:36,Active Rat Signs,2019-06-27 11:36:40
INITIAL,1,40.718008702954,-73.99342724941,2019-03-11 12:02:53,Active Rat Signs,2019-03-12 09:26:27
INITIAL,1,40.718008702954,-73.99342724941,2019-02-14 15:00:12,Active Rat Signs,2019-02-15 11:31:28
INITIAL,1,40.718008702954,-73.99342724941,2019-01-08 15:21:22,Active Rat Signs,2019-01-09 10:54:56
INITIAL,1,40.718008702954,-73.99342724941,2018-10-25 15:30:46,Passed Inspection,2018-10-30 10:34:06
BAIT,6,40.718008702954,-73.99342724941,2018-10-06 02:00:27,Bait applied,2018-10-09 10:59:30
BAIT,5,40.718008702954,-73.99342724941,2018-09-29 12:16:35,Bait applied,2018-10-09 10:58:14
BAIT,4,40.718008702954,-73.99342724941,2018-09-22 14:30:12,Bait applied,2018-09-25 13:34:11
BAIT,3,40.718008702954,-73.99342724941,2018-09-15 14:10:34,Bait applied,2018-09-20 11:41:51
BAIT,2,40.718008702954,-73.99342724941,2018-09-08 15:21:05,Bait applied,2018-09-11 15:08:53
BAIT,1,40.718008702954,-73.99342724941,2018-09-01 12:30:49,Bait applied,2018-09-10 15:05:33
BAIT,172,40.718008702954,-73.99342724941,2018-06-19 11:00:56,Bait applied,2018-06-20 14:36:56
BAIT,175,40.718008702954,-73.99342724941,2018-06-19 10:00:28,Bait applied,2018-06-20 14:36:28
BAIT,171,40.718008702954,-73.99342724941,2018-06-12 10:50:57,Bait applied,2018-06-14 13:58:16
BAIT,174,40.718008702954,-73.99342724941,2018-06-12 10:00:00,Bait applied,2018-06-14 11:34:54
BAIT,170,40.718008702954,-73.99342724941,2018-06-06 11:05:48,Bait applied,2018-06-11 14:10:35
BAIT,173,40.718008702954,-73.99342724941,2018-06-06 10:05:36,Bait applied,2018-06-11 14:10:17
BAIT,169,40.718008702954,-73.99342724941,2018-06-05 11:00:45,Monitoring visit,2018-06-11 10:13:01
BAIT,172,40.718008702954,-73.99342724941,2018-06-05 10:05:25,Monitoring visit,2018-06-11 10:11:04
BAIT,168,40.718008702954,-73.99342724941,2018-05-29 11:00:58,Monitoring visit,2018-06-06 14:04:37
BAIT,171,40.718008702954,-73.99342724941,2018-05-29 10:05:24,Monitoring visit,2018-06-06 14:04:04
BAIT,167,40.718008702954,-73.99342724941,2018-05-23 11:00:50,Bait applied,2018-06-05 11:23:23
BAIT,170,40.718008702954,-73.99342724941,2018-05-23 10:05:13,Bait applied,2018-06-05 11:22:47
BAIT,166,40.718008702954,-73.99342724941,2018-05-22 11:00:40,Monitoring visit,2018-06-05 10:07:21
BAIT,169,40.718008702954,-73.99342724941,2018-05-22 10:05:17,Monitoring visit,2018-06-05 10:05:05
BAIT,165,40.718008702954,-73.99342724941,2018-05-16 10:50:58,Bait applied,2018-05-22 13:52:59
BAIT,168,40.718008702954,-73.99342724941,2018-05-16 10:00:10,Bait applied,2018-05-22 13:52:31
BAIT,164,40.718008702954,-73.99342724941,2018-05-15 11:05:58,Monitoring visit,2018-05-21 12:31:51
BAIT,167,40.718008702954,-73.99342724941,2018-05-15 10:05:44,Monitoring visit,2018-05-21 12:29:57
BAIT,163,40.718008702954,-73.99342724941,2018-05-08 10:45:48,Bait applied,2018-05-11 08:33:01
BAIT,166,40.718008702954,-73.99342724941,2018-05-08 10:00:30,Bait applied,2018-05-11 08:32:32
BAIT,162,40.718008702954,-73.99342724941,2018-05-01 10:40:21,Bait applied,2018-05-02 14:05:02
BAIT,165,40.718008702954,-73.99342724941,2018-05-01 09:55:47,Bait applied,2018-05-02 13:58:35
BAIT,161,40.718008702954,-73.99342724941,2018-04-24 10:50:28,Bait applied,2018-04-26 11:42:20
BAIT,164,40.718008702954,-73.99342724941,2018-04-24 10:10:03,Bait applied,2018-04-26 11:41:28
BAIT,160,40.718008702954,-73.99342724941,2018-04-17 13:20:13,Bait applied,2018-04-18 11:09:59
BAIT,163,40.718008702954,-73.99342724941,2018-04-17 12:35:47,Bait applied,2018-04-18 11:09:36
BAIT,159,40.718008702954,-73.99342724941,2018-04-11 13:05:34,Bait applied,2018-04-12 13:28:56
BAIT,162,40.718008702954,-73.99342724941,2018-04-11 12:20:29,Bait applied,2018-04-12 13:28:05
BAIT,158,40.718008702954,-73.99342724941,2018-04-03 13:35:56,Monitoring visit,2018-04-04 14:54:52
BAIT,161,40.718008702954,-73.99342724941,2018-04-03 12:45:36,Monitoring visit,2018-04-04 14:54:24
BAIT,157,40.718008702954,-73.99342724941,2018-03-27 10:25:04,Bait applied,2018-03-28 08:18:50
BAIT,160,40.718008702954,-73.99342724941,2018-03-27 09:40:49,Bait applied,2018-03-27 15:02:06
INITIAL,1,40.718008702954,-73.99342724941,2018-03-23 14:56:05,Active Rat Signs,2018-04-05 11:06:18
BAIT,156,40.718008702954,-73.99342724941,2018-03-20 10:25:04,Monitoring visit,2018-03-22 09:24:45
BAIT,159,40.718008702954,-73.99342724941,2018-03-20 09:40:54,Monitoring visit,2018-03-22 09:24:31
BAIT,155,40.718008702954,-73.99342724941,2018-03-14 10:45:21,Bait applied,2018-03-16 10:52:24
BAIT,158,40.718008702954,-73.99342724941,2018-03-14 09:55:45,Bait applied,2018-03-16 10:51:32
BAIT,154,40.718008702954,-73.99342724941,2018-03-06 10:50:11,Bait applied,2018-03-08 08:17:29
BAIT,157,40.718008702954,-73.99342724941,2018-03-06 09:55:14,Bait applied,2018-03-08 08:17:09
BAIT,153,40.718008702954,-73.99342724941,2018-02-27 10:25:01,Bait applied,2018-02-28 14:30:43
BAIT,156,40.718008702954,-73.99342724941,2018-02-27 09:40:06,Bait applied,2018-02-28 14:30:18
BAIT,152,40.718008702954,-73.99342724941,2018-02-20 10:35:13,Monitoring visit,2018-02-21 14:28:05
BAIT,155,40.718008702954,-73.99342724941,2018-02-20 09:50:58,Monitoring visit,2018-02-21 14:27:40
BAIT,151,40.718008702954,-73.99342724941,2018-02-13 10:20:01,Bait applied,2018-02-17 13:00:33
BAIT,154,40.718008702954,-73.99342724941,2018-02-13 09:35:09,Bait applied,2018-02-17 13:00:19
BAIT,150,40.718008702954,-73.99342724941,2018-02-06 10:50:35,Bait applied,2018-02-07 14:23:26
BAIT,153,40.718008702954,-73.99342724941,2018-02-06 09:55:09,Bait applied,2018-02-07 14:23:08
BAIT,149,40.718008702954,-73.99342724941,2018-01-30 10:50:35,Bait applied,2018-02-02 13:18:05
BAIT,152,40.718008702954,-73.99342724941,2018-01-30 10:15:21,Bait applied,2018-02-02 13:17:53
BAIT,148,40.718008702954,-73.99342724941,2018-01-23 10:40:19,Bait applied,2018-01-30 13:49:04
BAIT,151,40.718008702954,-73.99342724941,2018-01-23 09:55:07,Bait applied,2018-01-30 13:28:22
BAIT,147,40.718008702954,-73.99342724941,2018-01-16 11:15:50,Bait applied,2018-01-17 08:21:46
BAIT,150,40.718008702954,-73.99342724941,2018-01-16 10:35:14,Bait applied,2018-01-17 08:22:08
BAIT,146,40.718008702954,-73.99342724941,2018-01-10 11:10:33,Bait applied,2018-01-10 14:55:10
BAIT,149,40.718008702954,-73.99342724941,2018-01-10 10:35:43,Bait applied,2018-01-10 14:55:32
BAIT,145,40.718008702954,-73.99342724941,2018-01-02 10:46:00,Bait applied,2018-01-03 07:45:41
BAIT,148,40.718008702954,-73.99342724941,2018-01-02 10:15:07,Bait applied,2018-01-02 15:04:08
BAIT,144,40.718008702954,-73.99342724941,2017-12-26 11:00:31,Bait applied,2017-12-27 08:26:37
BAIT,147,40.718008702954,-73.99342724941,2017-12-26 10:25:52,Bait applied,2017-12-27 08:27:19
BAIT,143,40.718008702954,-73.99342724941,2017-12-19 11:05:06,Bait applied,2017-12-20 10:37:11
BAIT,146,40.718008702954,-73.99342724941,2017-12-19 10:25:13,Bait applied,2017-12-20 10:37:41
BAIT,142,40.718008702954,-73.99342724941,2017-12-12 11:15:02,Bait applied,2017-12-12 15:08:07
BAIT,145,40.718008702954,-73.99342724941,2017-12-12 10:35:19,Bait applied,2017-12-12 15:08:32
BAIT,141,40.718008702954,-73.99342724941,2017-12-05 11:10:42,Monitoring visit,2017-12-05 14:45:46
BAIT,144,40.718008702954,-73.99342724941,2017-12-05 10:35:31,Monitoring visit,2017-12-07 14:09:18
BAIT,140,40.718008702954,-73.99342724941,2017-11-28 10:05:18,Monitoring visit,2017-11-29 08:46:39
BAIT,143,40.718008702954,-73.99342724941,2017-11-28 09:30:53,Bait applied,2017-12-07 08:57:21
BAIT,139,40.718008702954,-73.99342724941,2017-11-21 11:05:58,Bait applied,2017-11-22 09:19:11
BAIT,142,40.718008702954,-73.99342724941,2017-11-21 10:25:40,Bait applied,2017-12-06 13:53:41
BAIT,138,40.718008702954,-73.99342724941,2017-11-14 10:45:20,Bait applied,2017-11-14 14:48:45
BAIT,141,40.718008702954,-73.99342724941,2017-11-14 10:05:48,Bait applied,2017-11-14 14:49:04
BAIT,137,40.718008702954,-73.99342724941,2017-10-24 10:42:38,Monitoring visit,2017-10-24 14:41:48
BAIT,140,40.718008702954,-73.99342724941,2017-10-24 10:00:18,Monitoring visit,2017-10-24 14:41:43
BAIT,136,40.718008702954,-73.99342724941,2017-10-17 10:50:00,Bait applied,2017-10-17 15:01:19
BAIT,139,40.718008702954,-73.99342724941,2017-10-17 10:00:50,Bait applied,2017-10-17 15:01:15
BAIT,135,40.718008702954,-73.99342724941,2017-10-10 10:50:36,Bait applied,2017-10-10 15:06:37
BAIT,138,40.718008702954,-73.99342724941,2017-10-10 10:00:37,Bait applied,2017-10-10 15:06:31
BAIT,134,40.718008702954,-73.99342724941,2017-10-03 10:50:14,Bait applied,2017-10-03 15:00:20
BAIT,137,40.718008702954,-73.99342724941,2017-10-03 10:00:43,Bait applied,2017-10-03 15:00:23
BAIT,133,40.718008702954,-73.99342724941,2017-09-26 10:50:21,Bait applied,2017-09-26 15:16:22
BAIT,136,40.718008702954,-73.99342724941,2017-09-26 10:00:52,Bait applied,2017-09-26 15:16:25
BAIT,132,40.718008702954,-73.99342724941,2017-09-19 10:55:48,Bait applied,2017-09-19 15:06:19
BAIT,135,40.718008702954,-73.99342724941,2017-09-19 10:05:49,Bait applied,2017-09-19 15:06:24
BAIT,131,40.718008702954,-73.99342724941,2017-09-12 10:55:54,Bait applied,2017-09-13 08:18:31
BAIT,134,40.718008702954,-73.99342724941,2017-09-12 10:05:14,Bait applied,2017-09-13 08:18:46
INITIAL,1,40.718008702954,-73.99342724941,2017-09-08 12:10:54,Active Rat Signs,2017-09-12 15:12:20
BAIT,130,40.718008702954,-73.99342724941,2017-09-05 12:45:34,Bait applied,2017-09-06 08:04:00
BAIT,133,40.718008702954,-73.99342724941,2017-09-05 12:05:20,Bait applied,2017-09-06 08:03:56
BAIT,129,40.718008702954,-73.99342724941,2017-08-29 10:36:54,Bait applied,2017-08-30 12:07:48
BAIT,132,40.718008702954,-73.99342724941,2017-08-29 09:50:06,Bait applied,2017-08-30 12:06:17
BAIT,128,40.718008702954,-73.99342724941,2017-08-22 11:00:12,Bait applied,2017-08-23 11:44:45
BAIT,131,40.718008702954,-73.99342724941,2017-08-22 10:25:24,Bait applied,2017-08-23 11:44:40
BAIT,127,40.718008702954,-73.99342724941,2017-08-16 10:32:40,Bait applied,2017-08-17 13:58:25
BAIT,130,40.718008702954,-73.99342724941,2017-08-16 09:50:16,Bait applied,2017-08-17 13:55:29
BAIT,126,40.718008702954,-73.99342724941,2017-08-09 10:35:56,Bait applied,2017-08-10 12:28:47
