zipcode,population,year
10271,0,2010
10278,0,2010
10279,0,2010
10280,7853,2010
10282,4783,2010
10463,65665,2010
10001,18949,2010
10002,79717,2010
10003,46493,2010
10004,3064,2010
10005,7119,2010
10006,3011,2010
10007,5962,2010
10009,60123,2010
10010,27896,2010
10011,48753,2010
10012,22806,2010
10013,25803,2010
10014,31395,2010
10016,52488,2010
10017,16391,2010
10018,5044,2010
10019,42298,2010
10020,0,2010
10021,42346,2010
10022,31116,2010
10023,59207,2010
10024,57923,2010
10025,87972,2010
10026,32543,2010
10027,51653,2010
10028,44983,2010
10029,71884,2010
10030,26125,2010
10031,56036,2010
10032,56531,2010
10033,53065,2010
10034,38716,2010
10035,31113,2010
10036,24161,2010
10037,16929,2010
10038,18671,2010
10039,24291,2010
10040,40988,2010
10044,9763,2010
10065,31951,2010
10069,5199,2010
10075,25379,2010
10103,0,2010
10110,0,2010
10112,0,2010
10115,0,2010
10119,0,2010
10128,59865,2010
10152,0,2010
10153,0,2010
10154,0,2010
10162,1684,2010
10165,2,2010
10167,0,2010
10168,0,2010
10169,0,2010
10170,0,2010
10171,0,2010
10172,0,2010
10173,0,2010
10174,0,2010
10177,0,2010
10271,0,2011
10278,0,2011
10279,0,2011
10280,7741,2011
10282,5027,2011
10463,68345,2011
10001,21097,2011
10002,81335,2011
10003,55190,2011
10004,2604,2011
10005,4935,2011
10006,2722,2011
10007,5892,2011
10009,62335,2011
10010,28954,2011
10011,51064,2011
10012,24342,2011
10013,25942,2011
10014,31685,2011
10016,53754,2011
10017,15603,2011
10018,5290,2011
10019,40778,2011
10020,0,2011
10021,41546,2011
10022,28847,2011
10023,60035,2011
10024,60239,2011
10025,95330,2011
10026,36026,2011
10027,58834,2011
10028,45345,2011
10029,78451,2011
10030,29186,2011
10031,58736,2011
10032,62798,2011
10033,58027,2011
10034,40925,2011
10035,35290,2011
10036,22371,2011
10037,17489,2011
10038,19530,2011
10039,25257,2011
10040,43753,2011
10044,11399,2011
10065,32193,2011
10069,5214,2011
10075,26082,2011
10103,0,2011
10110,4,2011
10112,0,2011
10115,0,2011
10119,0,2011
10128,58793,2011
10152,0,2011
10153,0,2011
10154,0,2011
10162,1608,2011
10165,0,2011
10167,0,2011
10168,0,2011
10169,0,2011
10170,0,2011
10171,0,2011
10172,0,2011
10173,0,2011
10174,0,2011
10177,0,2011
10271,0,2012
10278,0,2012
10279,0,2012
10280,7610,2012
10282,5507,2012
10463,69371,2012
10001,20579,2012
10002,80323,2012
10003,56614,2012
10004,2780,2012
10005,5724,2012
10006,2696,2012
10007,6188,2012
10009,62397,2012
10010,29396,2012
10011,51853,2012
10012,24703,2012
10013,26090,2012
10014,30893,2012
10016,52624,2012
10017,16137,2012
10018,6147,2012
10019,40351,2012
10020,0,2012
10021,42646,2012
10022,29317,2012
10023,60447,2012
10024,58991,2012
10025,96449,2012
10026,36797,2012
10027,61018,2012
10028,45799,2012
10029,79031,2012
10030,29364,2012
10031,59708,2012
10032,61650,2012
10033,57073,2012
10034,41200,2012
10035,34709,2012
10036,22413,2012
10037,17099,2012
10038,20042,2012
10039,25372,2012
10040,43650,2012
10044,12311,2012
10065,32807,2012
10069,5359,2012
10075,24148,2012
10103,0,2012
10110,3,2012
10112,0,2012
10115,0,2012
10119,0,2012
10128,59443,2012
10152,0,2012
10153,0,2012
10154,0,2012
10162,1590,2012
10165,0,2012
10167,0,2012
10168,0,2012
10169,0,2012
10170,0,2012
10171,0,2012
10172,0,2012
10173,0,2012
10174,0,2012
10177,0,2012
10271,0,2013
10278,0,2013
10279,0,2013
10280,8685,2013
10282,6217,2013
10463,70420,2013
10001,21966,2013
10002,82191,2013
10003,57310,2013
10004,2807,2013
10005,6822,2013
10006,2507,2013
10007,6525,2013
10009,62810,2013
10010,30670,2013
10011,52167,2013
10012,26145,2013
10013,26065,2013
10014,30597,2013
10016,51196,2013
10017,16129,2013
10018,7021,2013
10019,38394,2013
10020,0,2013
10021,40862,2013
10022,29618,2013
10023,61315,2013
10024,59164,2013
10025,97390,2013
10026,37871,2013
10027,62617,2013
10028,44295,2013
10029,77454,2013
10030,28472,2013
10031,59092,2013
10032,59374,2013
10033,58710,2013
10034,41510,2013
10035,33488,2013
10036,23132,2013
10037,17377,2013
10038,20082,2013
10039,26577,2013
10040,44825,2013
10044,12346,2013
10065,32797,2013
10069,5118,2013
10075,24849,2013
10103,0,2013
10110,2,2013
10112,0,2013
10115,0,2013
10119,0,2013
10128,60121,2013
10152,0,2013
10153,0,2013
10154,0,2013
10162,1327,2013
10165,0,2013
10167,0,2013
10168,0,2013
10169,0,2013
10170,0,2013
10171,0,2013
10172,0,2013
10173,0,2013
10174,0,2013
10177,0,2013
10271,0,2014
10278,0,2014
10279,0,2014
10280,8817,2014
10282,5903,2014
10463,71238,2014
10001,22767,2014
10002,79894,2014
