zip_year,count
10271 2010,2
10278 2010,1
10279 2010,1
10280 2010,9
10281 2010,15
10282 2010,16
12345 2010,4
10463 2010,93
10001 2010,410
10002 2010,600
10003 2010,565
10004 2010,112
10005 2010,66
10006 2010,48
10007 2010,117
10009 2010,242
10010 2010,218
10011 2010,360
10012 2010,360
10013 2010,557
10014 2010,361
10016 2010,438
10017 2010,352
10018 2010,253
10019 2010,572
10020 2010,38
10021 2010,254
10022 2010,422
10023 2010,188
10024 2010,192
10025 2010,240
10026 2010,44
10027 2010,118
10028 2010,208
10029 2010,149
10030 2010,27
10031 2010,73
10032 2010,91
10033 2010,92
10034 2010,62
10035 2010,55
10036 2010,476
10037 2010,25
10038 2010,236
10039 2010,29
10040 2010,48
10041 2010,1
10044 2010,9
10055 2010,2
10065 2010,97
10069 2010,2
10075 2010,56
10103 2010,2
10105 2010,8
10106 2010,4
10110 2010,1
10112 2010,14
10115 2010,2
10118 2010,8
10119 2010,19
10121 2010,1
10123 2010,1
10128 2010,154
10152 2010,1
10153 2010,5
10154 2010,3
10155 2010,1
10162 2010,2
10165 2010,1
10167 2010,1
10168 2010,2
10169 2010,6
10171 2010,4
10172 2010,9
10176 2010,4
10177 2010,1
10271 2011,2
10279 2011,1
10280 2011,8
10281 2011,13
10282 2011,17
12345 2011,2
10463 2011,101
10001 2011,435
10002 2011,617
10003 2011,577
10004 2011,113
10005 2011,66
10006 2011,55
10007 2011,126
10009 2011,269
10010 2011,220
10011 2011,374
10012 2011,366
10013 2011,552
10014 2011,395
10016 2011,415
10017 2011,356
10018 2011,263
10019 2011,598
10020 2011,38
10021 2011,242
10022 2011,440
10023 2011,192
10024 2011,196
10025 2011,240
10026 2011,45
10027 2011,115
10028 2011,219
10029 2011,152
10030 2011,28
10031 2011,69
10032 2011,90
10033 2011,91
10034 2011,67
10035 2011,57
10036 2011,481
10037 2011,22
10038 2011,216
10039 2011,26
10040 2011,41
10041 2011,1
10044 2011,7
10055 2011,2
10065 2011,91
10069 2011,4
10075 2011,66
10103 2011,2
10105 2011,8
10106 2011,3
10110 2011,1
10112 2011,17
10115 2011,2
10118 2011,9
10119 2011,18
10121 2011,1
10123 2011,1
10128 2011,157
10152 2011,1
10153 2011,6
10154 2011,2
10155 2011,3
10162 2011,2
10165 2011,1
10167 2011,3
10168 2011,3
10169 2011,6
10170 2011,1
10171 2011,4
10172 2011,9
10173 2011,1
10176 2011,2
10177 2011,1
10271 2012,2
10278 2012,1
