zip_code,year_month,bait,clean_ups,compliance,initial,sighting,zip_year_month
10001,2010-01,0.0,0.0,15.0,3.0,3.0,10001 2010-01
10001,2010-02,1.0,0.0,0.0,3.0,0.0,10001 2010-02
10001,2010-03,1.0,0.0,4.0,5.0,1.0,10001 2010-03
10001,2010-04,0.0,0.0,2.0,1.0,0.0,10001 2010-04
10001,2010-05,3.0,0.0,2.0,62.0,2.0,10001 2010-05
10001,2010-06,2.0,0.0,14.0,493.0,0.0,10001 2010-06
10001,2010-07,1.0,0.0,12.0,538.0,3.0,10001 2010-07
10001,2010-08,6.0,0.0,9.0,0.0,0.0,10001 2010-08
10001,2010-09,11.0,0.0,11.0,5.0,3.0,10001 2010-09
10001,2010-10,8.0,0.0,4.0,7.0,1.0,10001 2010-10
10001,2010-11,2.0,0.0,3.0,2.0,1.0,10001 2010-11
10001,2010-12,0.0,0.0,2.0,7.0,1.0,10001 2010-12
10001,2011-01,4.0,0.0,2.0,2.0,1.0,10001 2011-01
10001,2011-02,2.0,0.0,0.0,3.0,1.0,10001 2011-02
10001,2011-03,2.0,0.0,2.0,2.0,1.0,10001 2011-03
10001,2011-04,2.0,0.0,1.0,0.0,0.0,10001 2011-04
10001,2011-05,1.0,0.0,0.0,173.0,2.0,10001 2011-05
10001,2011-06,2.0,0.0,6.0,648.0,3.0,10001 2011-06
10001,2011-07,0.0,0.0,30.0,219.0,1.0,10001 2011-07
10001,2011-08,3.0,0.0,16.0,47.0,5.0,10001 2011-08
10001,2011-09,9.0,0.0,2.0,8.0,1.0,10001 2011-09
10001,2011-10,39.0,0.0,4.0,2.0,1.0,10001 2011-10
10001,2011-11,22.0,1.0,5.0,2.0,2.0,10001 2011-11
10001,2011-12,3.0,0.0,0.0,3.0,0.0,10001 2011-12
10001,2012-01,1.0,0.0,3.0,26.0,0.0,10001 2012-01
10001,2012-02,0.0,0.0,6.0,8.0,1.0,10001 2012-02
10001,2012-03,1.0,0.0,3.0,1.0,2.0,10001 2012-03
10001,2012-04,9.0,0.0,2.0,3.0,1.0,10001 2012-04
10001,2012-05,3.0,0.0,0.0,4.0,6.0,10001 2012-05
10001,2012-06,1.0,0.0,2.0,2.0,3.0,10001 2012-06
10001,2012-07,0.0,0.0,0.0,1.0,1.0,10001 2012-07
10001,2012-08,0.0,0.0,0.0,202.0,4.0,10001 2012-08
10001,2012-09,0.0,0.0,16.0,244.0,2.0,10001 2012-09
10001,2012-10,0.0,0.0,15.0,0.0,4.0,10001 2012-10
10001,2012-11,0.0,0.0,10.0,118.0,3.0,10001 2012-11
10001,2012-12,0.0,0.0,16.0,501.0,1.0,10001 2012-12
10001,2013-01,0.0,0.0,16.0,6.0,2.0,10001 2013-01
10001,2013-02,1.0,0.0,4.0,5.0,1.0,10001 2013-02
10001,2013-03,4.0,0.0,2.0,3.0,4.0,10001 2013-03
10001,2013-04,5.0,0.0,2.0,6.0,2.0,10001 2013-04
10001,2013-05,1.0,0.0,3.0,5.0,1.0,10001 2013-05
10001,2013-06,10.0,0.0,2.0,3.0,4.0,10001 2013-06
10001,2013-07,2.0,0.0,2.0,6.0,4.0,10001 2013-07
10001,2013-08,2.0,0.0,4.0,4.0,5.0,10001 2013-08
10001,2013-09,6.0,0.0,4.0,7.0,8.0,10001 2013-09
10001,2013-10,15.0,0.0,3.0,2.0,7.0,10001 2013-10
10001,2013-11,12.0,0.0,2.0,4.0,1.0,10001 2013-11
10001,2013-12,0.0,0.0,1.0,3.0,0.0,10001 2013-12
10001,2014-01,0.0,0.0,2.0,3.0,5.0,10001 2014-01
10001,2014-02,0.0,0.0,3.0,4.0,1.0,10001 2014-02
10001,2014-03,0.0,0.0,2.0,276.0,1.0,10001 2014-03
10001,2014-05,0.0,0.0,9.0,9.0,7.0,10001 2014-05
10001,2014-06,0.0,0.0,5.0,5.0,5.0,10001 2014-06
10001,2014-07,0.0,0.0,4.0,13.0,4.0,10001 2014-07
10001,2014-08,2.0,0.0,2.0,1.0,6.0,10001 2014-08
10001,2014-09,0.0,0.0,1.0,18.0,13.0,10001 2014-09
10001,2014-10,7.0,0.0,7.0,7.0,5.0,10001 2014-10
10001,2014-11,1.0,0.0,9.0,14.0,10.0,10001 2014-11
10001,2014-12,2.0,0.0,8.0,2.0,3.0,10001 2014-12
10001,2015-01,1.0,0.0,1.0,3.0,2.0,10001 2015-01
10001,2015-02,1.0,0.0,1.0,4.0,3.0,10001 2015-02
10001,2015-03,6.0,0.0,3.0,7.0,0.0,10001 2015-03
10001,2015-04,0.0,0.0,2.0,3.0,3.0,10001 2015-04
10001,2015-05,2.0,0.0,2.0,5.0,6.0,10001 2015-05
10001,2015-06,6.0,0.0,3.0,5.0,5.0,10001 2015-06
10001,2015-07,3.0,0.0,1.0,11.0,13.0,10001 2015-07
10001,2015-08,4.0,0.0,6.0,7.0,4.0,10001 2015-08
10001,2015-09,0.0,0.0,1.0,6.0,10.0,10001 2015-09
10001,2015-10,6.0,0.0,6.0,12.0,8.0,10001 2015-10
10001,2015-11,4.0,0.0,4.0,8.0,5.0,10001 2015-11
10001,2015-12,5.0,0.0,4.0,10.0,1.0,10001 2015-12
10001,2016-01,3.0,0.0,1.0,7.0,11.0,10001 2016-01
10001,2016-02,5.0,0.0,2.0,11.0,2.0,10001 2016-02
10001,2016-03,10.0,0.0,8.0,169.0,1.0,10001 2016-03
10001,2016-04,6.0,0.0,4.0,9.0,6.0,10001 2016-04
10001,2016-05,4.0,0.0,4.0,3.0,2.0,10001 2016-05
10001,2016-06,1.0,0.0,1.0,4.0,2.0,10001 2016-06
10001,2016-07,5.0,0.0,0.0,2.0,5.0,10001 2016-07
10001,2016-08,12.0,0.0,2.0,9.0,14.0,10001 2016-08
10001,2016-09,5.0,0.0,3.0,8.0,12.0,10001 2016-09
10001,2016-10,5.0,0.0,5.0,6.0,11.0,10001 2016-10
10001,2016-11,5.0,0.0,4.0,7.0,8.0,10001 2016-11
10001,2016-12,4.0,0.0,0.0,3.0,6.0,10001 2016-12
10001,2017-01,0.0,0.0,1.0,441.0,2.0,10001 2017-01
